id,iso3,country,region,year,value
CH,CHE,Switzerland,Switzerland,2020,8544527
CH,CHE,Switzerland,ZH,2020,1520968
CH,CHE,Switzerland,BE,2020,1034977
CH,CHE,Switzerland,LU,2020,409557
CH,CHE,Switzerland,UR,2020,36433
CH,CHE,Switzerland,SZ,2020,159165
CH,CHE,Switzerland,OW,2020,37841
CH,CHE,Switzerland,NW,2020,43223
CH,CHE,Switzerland,GL,2020,40403
CH,CHE,Switzerland,ZG,2020,126837
CH,CHE,Switzerland,FR,2020,318714
CH,CHE,Switzerland,SO,2020,273194
CH,CHE,Switzerland,BS,2020,194766
CH,CHE,Switzerland,BL,2020,288132
CH,CHE,Switzerland,SH,2020,81991
CH,CHE,Switzerland,AR,2020,55234
CH,CHE,Switzerland,AI,2020,16145
CH,CHE,Switzerland,SG,2020,507697
CH,CHE,Switzerland,GR,2020,198379
CH,CHE,Switzerland,AG,2020,678207
CH,CHE,Switzerland,TG,2020,276472
CH,CHE,Switzerland,TI,2020,353343
CH,CHE,Switzerland,VD,2020,799145
CH,CHE,Switzerland,VS,2020,343955
CH,CHE,Switzerland,NE,2020,176850
CH,CHE,Switzerland,GE,2020,499480
CH,CHE,Switzerland,JU,2020,73419
CH,CHE,Liechtenstein,LI,2020,38553
